IDESTACION,DENOMINACION,X,Y,LINEAS,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS
6_3061,AV.PABLO NERUDA-MALGRAT MAR,445669.0,4471747.0,"54, 142, 144",2,3
6_3065,SAN CLAUDIO-RAFAEL FERNANDEZ,446155.0,4471557.0,54,2,3
6_3007,CERRO DEL CASTAÑAR-MORALZARZAL,439614.0,4483041.0,134,2,3
6_3066,ANDALUCES-SAN CLAUDIO,446036.0,4471456.0,54,2,3
6_2948,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,442127.0,4468163.0,"23, 130",2,3
6_2953,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,439692.0,4467487.0,131,2,3
6_2958,RAFAELA YBARRA-UNIDAD,439640.0,4469245.0,131,2,3
6_2960,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,439130.0,4478314.0,132,2,3
6_2961,ARQ.SANCHEZ ARCAS-MORERAS,439361.0,4478496.0,132,2,3
6_2964,CESAR MANRIQUE-JUAN SANCHEZ,439023.0,4480815.0,"127, 132, N21",2,3
6_2977,ARQ.SANCHEZ ARCAS-MORERAS,439333.0,4478492.0,132,2,3
6_2978,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,439107.0,4478301.0,132,2,3
6_2979,AV.MORERAS-RAMIRO DE MAEZTU,438953.0,4478072.0,132,2,3
6_2354,J.JOSE MTNEZ.SECO-DIAMANTE,441767.0,4467234.0,"85, 123",2,3
6_2355,J.JOSE MTNEZ.SECO-BENITA LOPEZ,441565.0,4467231.0,"85, 123",2,3
6_2357,VIRGEN DE LOS DESAMPARADOS-TOTANES,440759.0,4467209.0,"18, 86, 116, N14",2,3
6_2359,VIRGEN DE LOS DESAMPARADOS,440777.0,4467203.0,"18, 86, 116, N14",2,3
6_2360,ARROYO POZUELO-HINOJO,434394.0,4478425.0,160,2,3
6_2366,EMILIO RUBIN-ARTURO SORIA,444011.0,4479338.0,87,2,3
6_2367,MONTEARAGON Nº 8,444216.0,4479566.0,87,2,3
6_2371,Cº DE MONTORO-Cº VIEJO DE BURGOS,446447.0,4481437.0,"87, N2",2,3
6_2374,Cº DEL OLIVAR-GRAMA,446782.0,4481118.0,87,2,3
6_2378,GREGORIO SANCHEZ HERRAEZ,446137.0,4481189.0,"87, N2",2,3
6_2382,AV.BUCARAMANGA-GTA.CHARALA,445889.0,4480621.0,87,2,3
6_2385,GRAN VIA HORTALEZA-HARO,444870.0,4480015.0,87,2,3
6_2254,ARROYOFRESNO-AV.C.HERRERA ORIA,437273.0,4481198.0,82,2,3
6_2255,CANTALEJO-ARROYOFRESNO,437247.0,4480982.0,82,2,3
6_2265,AV.MIRAFLORES-CTRA.DEHESA VILLA,438221.0,4479001.0,"82, N20",2,3
6_2266,PARANINFO-CIEMAT,438274.0,4478666.0,"82, N20",2,3
6_821,FTE.CARRANTONA-ARROYO FONTARRON,445868.0,4472150.0,"20, 142, 144",2,3
6_823,PZA.CONDE MACEDA Y TABOADA,445523.0,4472929.0,"20, 30, N8",2,3
6_826,PZA.DEL ENCUENTRO,444884.0,4473188.0,"20, 30, N8",2,3
6_828,AV.MORATALAZ Nº 21,444060.0,4473422.0,20,2,3
6_830,Cº VINATEROS-M30,444218.0,4473769.0,"20, 30, 32, N8",2,3
6_831,ESTRELLA POLAR-PEZ AUSTRAL,443652.0,4473818.0,"20, 30, 32, N8",2,3
6_833,AV.NAZARET-JESUS APRENDIZ,443203.0,4473856.0,20,2,3
6_836,MENENDEZ PELAYO-A.SAINZ BARANDA,442567.0,4474502.0,"20, 152",2,3
6_840,JUAN PEREZ ZUÑIGA Nº 19,445095.0,4477258.0,21,2,3
6_776,ALEGRIA DE LA HUERTA-ANOETA,441079.0,4467420.0,"18, 86, 116, N14",2,3
6_711,Pº PONTONES-Pº IMPERIAL,439383.0,4473146.0,"17, 41, N16",2,3
6_713,Pº ERMITA DEL SANTO-PTE.SAN ISIDRO,438620.0,4473086.0,"17, 25, N16",2,3
6_714,VIA CARPETANA-CARAMUEL,438134.0,4472847.0,"17, N16",2,3
6_719,VIA CARPETANA-PETIRROJO,436958.0,4471490.0,17,2,3
6_1551,AV.JUAN HERRERA-MARTIN FIERRO,438039.0,4476902.0,"46, 160, 161, N20, N28",2,3
6_723,"OCAÑA,69",436145.0,4470984.0,"17, N26",2,3
6_726,RAFAEL FINAT-AV.LAS ÁGUILAS,435155.0,4470823.0,"17, 138",2,3
6_728,RAFAEL FINAT-JOSE DE CADALSO,434680.0,4470303.0,"17, 138",2,3
6_729,BLAS CABRERA-RAFAEL FINAT,434544.0,4470189.0,"17, 34, 139",2,3
6_730,BLAS CABRERA-OLIVA DE PLASENCIA,434354.0,4470379.0,"17, 139",2,3
6_733,BLAS CABRERA-RAFAEL FINAT,434510.0,4470198.0,"17, 34, 39, 138, 139, N19",2,3
6_734,RAFAEL FINAT-JOSE DE CADALSO,434723.0,4470333.0,"17, 138",2,3
6_3402,GONZALEZ FEITO-CAL,441317.0,4470394.0,"23, 123",2,3
6_3409,VENTISQUERO CONDESA-C.MINGUETE,439401.0,4482323.0,64,2,3
6_3410,SANTIAGO COMPOSTELA-NARCIS MONTURIOL,440874.0,4481987.0,67,2,3
6_3414,ALEJANDRO CASONA-DR.REINOSA,438158.0,4481591.0,82,2,3
6_3734,PTO.PORZUNA-FUENTIDUEÑA,447248.0,4469715.0,"103, 142",2,3
6_3735,PTO.PORZUNA-CONGOSTO,447415.0,4469882.0,"103, 142",2,3
6_3737,ALCALA-AV.25 DE SEPTIEMBRE,447282.0,4477220.0,105,2,3
6_3740,DR.ESQUERDO-PZA.CONDE CASAL,443228.0,4473238.0,"56, 156",2,3
6_3741,DR.ESQUERDO-SAINZ DE BARANDA,443305.0,4474394.0,"30, 56, 143, 156, N8",2,3
6_3743,CEMENTERIO DE FUENCARRAL,440739.0,4484444.0,SE704,2,3
6_3747,LOPEZ DE HOYOS-PADRE CLARET,443691.0,4478121.0,"9, 72, 73, N2",2,3
6_3748,Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO,437911.0,4472541.0,25,2,3
6_3753,Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO,437942.0,4472555.0,25,2,3
6_3756,VALLE ENMEDIO-GTA.P.CORRALILLOS,439226.0,4482409.0,49,2,3
6_3760,VENTISQUERO CONDESA-VALLE DE ENMEDIO,439391.0,4482447.0,49,2,3
6_3763,GOLONDRINA-VELETA,433676.0,4478846.0,"160, 161",2,3
6_3766,CTRA.HUMERA A ARAVACA-RIAZA,433968.0,4478953.0,"160, 161, N28",2,3
6_3779,GUECHO-PARADORES,430022.0,4481133.0,162,2,3
6_3785,AV.ROSALES-CORINDON,441524.0,4468909.0,"23, N12",2,3
6_3788,AYACUCHO-NEVADO RUIZ,446308.0,4480278.0,"104, 171, T11",2,3
6_3789,DR.GARCIA TAPIA-LAPONIA,446847.0,4473293.0,"30, 100, N8",2,3
6_3791,LAPONIA-MUNICH,446848.0,4473179.0,30,2,3
6_3795,MERCAMADRID-MERCADO PESCADO,443574.0,4467911.0,T32,2,3
6_3796,MERCAMADRID-NAVES AUXILIARES,444373.0,4468494.0,"130, T32",2,3
6_3797,CENTRO DE TRANSPORTES DE MADRID,444562.0,4468746.0,"130, T32",2,3
6_5482,AV.Cº SANTIAGO-GTA.MONTE DEL GOZO,443536.0,4484860.0,"170, 172, 172SF, T61",2,3
6_1974,PEDRO RICO-ARZOBISPO MORCILLO,440912.0,4481920.0,67,2,3
6_1846,CARRERA SAN FRANCISCO-SAN I.LABRADOR,439629.0,4473809.0,60,2,3
6_1849,DIEGO DE LEON-SERRANO,441947.0,4476487.0,61,2,3
6_1850,GRAL.ORAA-Pº CASTELLANA,441779.0,4476568.0,61,2,3
6_1851,HERMANOS BECQUER-SERRANO,441859.0,4476507.0,61,2,3
6_1855,AV.PABLO NERUDA-AV.PALOMERAS,445195.0,4470944.0,57,2,3
6_1861,PARANINFO-MATEMATICAS,438426.0,4478208.0,"82, F, G, N20, U",2,3
6_1862,PARANINFO-TELECOMUNICACIONES,438397.0,4478417.0,"82, F, G, N20, U",2,3
6_1863,PARANINFO-DERECHO,438245.0,4478288.0,"82, F, G, N20, U",2,3
6_1870,ISAAC PERAL-PZA.CRISTO REY,439230.0,4476902.0,"1, 44, 82, 132, C2",2,3
6_1871,AV.MEDITERRANEO-PZA.CONDE CASAL,443361.0,4473294.0,"63, 143, 145, E, N9",2,3
6_1872,EL BOSCO-MARUJA GARCIA ROMERO,444623.0,4472996.0,"63, 143",2,3
6_1873,EL BOSCO-RAMON PEREZ AYALA,444830.0,4472749.0,"63, 143, N9",2,3
6_1874,EL BOSCO-RAMON PEREZ AYALA,444955.0,4472599.0,"63, 143, N9",2,3
6_1876,AV.MEDITERRANEO-AV.PABLO NERUDA,445700.0,4471971.0,"63, 145, E, N9",2,3
6_1877,AV.MEDITERRANEO-AV.DEMOCRACIA,447117.0,4471554.0,"63, 145, E, N9",2,3
6_1879,CASTRILLO AZA-AV.STA.EUGENIA,448239.0,4470709.0,"63, N9",2,3
6_1881,AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,448371.0,4470380.0,"63, 145, N9",2,3
6_1884,AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,448838.0,4470566.0,"63, 145, N9",2,3
6_1499,ISAAC PERAL-FERNANDEZ DE LOS RIOS,439200.0,4476581.0,"1, 44, 62, 82, 132, 138, C1, N21",2,3
6_1501,GRAL.IBAÑEZ IBERO-AV.REINA VICTORIA,439873.0,4477770.0,"44, N21",2,3
6_1502,DR.FEDERICO RUBIO-ALMANSA,439995.0,4478056.0,"44, 127, N21",2,3
6_1503,DR.FEDERICO RUBIO-ABEL,439946.0,4478242.0,"44, 127",2,3
6_1506,DR.FEDERICO RUBIO-FCO.DE DIEGO,439543.0,4478784.0,44,2,3
6_1508,OFELIA NIETO-FRANCOS RODRIGUEZ,439830.0,4479049.0,"44, 128, SE727",2,3
6_1510,OFELIA NIETO-Pº DIRECCION,440129.0,4479602.0,44,2,3
6_1512,OFELIA NIETO-Pº DIRECCION,440118.0,4479611.0,44,2,3
6_1514,OFELIA NIETO-FRANCOS RODRIGUEZ,439802.0,4479051.0,"44, 128, SE727",2,3
6_1516,DR.FEDERICO RUBIO-FCO.DIEGO,439532.0,4478792.0,44,2,3
6_1517,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,439579.0,4478530.0,44,2,3
6_1518,DR.FEDERICO RUBIO-JERONIMA LLORENTE,439928.0,4478397.0,"44, 127, N21",2,3
6_1519,DR.FEDERICO RUBIO-ABEL,439938.0,4478216.0,"44, 127",2,3
6_1522,SAN FCO.DE SALES-GUZMAN EL BUENO,439623.0,4477308.0,"44, N21",2,3
6_1527,LAGO CALAFATE,444969.0,4470785.0,310,2,3
6_1530,AV.REINA VICTORIA-GRAL.I.IBERO,439827.0,4477777.0,"45, C1, F",2,3
6_5430,"CALLE DE MIRABEL, 3",433789.0,4470000.0,N19,2,3
6_3534,MARQUESADO STA.MARTA-FERNANDO MIJARES,447315.0,4477842.0,"114, N4",2,3
6_3539,STA.ENGRACIA-CARACAS,441012.0,4475985.0,3,2,3
6_3543,AV.NIZA-LAS MUSAS,448562.0,4476153.0,"38, E2",2,3
6_3545,DR.GARCIA TAPIA-FTE.CARRANTONA,446485.0,4473434.0,30,2,3
6_3558,AV.BETANZOS-CHANTADA,439782.0,4480761.0,42,2,3
6_3560,INDALECIO PRIETO-LOS PINILLAS,447380.0,4472529.0,"8, 71, 130",2,3
6_3561,INDALECIO PRIETO-JUGLARES,447448.0,4472749.0,"8, 71, 130",2,3
6_3565,PZA.CORR.ALONSO AGUILAR,444175.0,4473367.0,20,2,3
6_3566,JUAN ESPLANDIU Nº 9,443907.0,4474597.0,215,2,3
6_3568,JUAN ESPLANDIU Nº 4,443890.0,4474407.0,215,2,3
6_3501,Pº ALBERTO PALACIOS-Pº FERROVIARIOS,439255.0,4466328.0,"22, N14",2,3
6_3573,GASCUEÑA Nº35,451808.0,4477843.0,"77, 167",2,3
6_3575,DR.GARCIA TAPIA-M40,447024.0,4473242.0,"100, N8",2,3
6_3429,JOAQUIN LORENZO-ISLA MALAITA,438848.0,4480692.0,42,2,3
6_3431,ISLA MALAITA-JOAQUIN LORENZO,438891.0,4480709.0,137,2,3
6_3432,ISLA MALAITA-CESAR MANRIQUE,438935.0,4480830.0,137,2,3
6_3439,SAN GERMAN-ORENSE,441180.0,4478864.0,126,2,3
6_1434,BRAVO MURILLO-LOPE DE HARO,440601.0,4478895.0,"66, 124, 126",2,3
6_1435,BRAVO MURILLO-FRANCISCO MEDRANO,440759.0,4479135.0,"66, 124, N23",2,3
6_1441,SINESIO DELGADO-HOSPITAL CARLOS III,441462.0,4480887.0,147,2,3
6_1442,SINESIO DELGADO-FINISTERRE,440819.0,4480942.0,147,2,3
