,IDESTACION,latitude,longitude,DENOMINACION,LINEAS,ACONDICIONAMIENTOVIAJEROS
0,6_3061,40.394553476337,-3.6401924340696334,AV.PABLO NERUDA-MALGRAT MAR,"54, 142, 144",2
1,6_3065,40.39287339750966,-3.6344500735825562,SAN CLAUDIO-RAFAEL FERNANDEZ,54,2
2,6_3007,40.495877472447155,-3.712608386404576,CERRO DEL CASTAÑAR-MORALZARZAL,134,2
3,6_3066,40.391955824037915,-3.6358435983355166,ANDALUCES-SAN CLAUDIO,54,2
4,6_2948,40.36202816176615,-3.6816003187535524,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,"23, 130",2
5,6_2953,40.35576582233822,-3.7102126231871435,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,131,2
6,6_2958,40.37159907416169,-3.7109913308246045,RAFAELA YBARRA-UNIDAD,131,2
7,6_2960,40.453259631168734,-3.717865932316175,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,132,2
8,6_2961,40.45491604348377,-3.7151592350626754,ARQ.SANCHEZ ARCAS-MORERAS,132,2
9,6_2964,40.47578171189799,-3.719368061520571,CESAR MANRIQUE-JUAN SANCHEZ,"127, 132, N21",2
10,6_2977,40.45487796653483,-3.7154890524969355,ARQ.SANCHEZ ARCAS-MORERAS,132,2
11,6_2978,40.45314083742234,-3.718135914165919,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,132,2
12,6_2979,40.451066620740455,-3.71992994625313,AV.MORERAS-RAMIRO DE MAEZTU,132,2
13,6_2354,40.35363411048841,-3.685755140164814,J.JOSE MTNEZ.SECO-DIAMANTE,"85, 123",2
14,6_2355,40.353592957014136,-3.688133466688357,J.JOSE MTNEZ.SECO-BENITA LOPEZ,"85, 123",2
15,6_2357,40.35333791050382,-3.6976222581116667,VIRGEN DE LOS DESAMPARADOS-TOTANES,"18, 86, 116, N14",2
16,6_2359,40.35328513727611,-3.6974097480629324,VIRGEN DE LOS DESAMPARADOS,"18, 86, 116, N14",2
17,6_2360,40.45389921755411,-3.77372641693588,ARROYO POZUELO-HINOJO,160,2
18,6_2366,40.46282745458129,-3.660396318983747,EMILIO RUBIN-ARTURO SORIA,87,2
19,6_2367,40.464895177518684,-3.65799851599085,MONTEARAGON Nº 8,87,2
20,6_2371,40.48189691136004,-3.631842342160774,Cº DE MONTORO-Cº VIEJO DE BURGOS,"87, N2",2
