id,latitude,longitude,name,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count
1,40.4172137,-3.7018341,Puerta del Sol A,1a,Puerta del Sol nº 1,1,1,30,0,0,0
2,40.41731271011562,-3.701602938060457,Puerta del Sol B,1b,Puerta del Sol nº 1,1,1,30,0,0,0
3,40.4205886,-3.7058415,Miguel Moya,2,Calle Miguel Moya nº 1,1,0,24,5,17,0
4,40.4302937,-3.7069171,Plaza Conde Suchil,3,Plaza del Conde del Valle de Súchil nº 3,1,0,18,3,15,0
5,40.4285524,-3.7025875,Malasaña,4,Calle Manuela Malasaña nº 5,1,0,24,5,17,0
6,40.42852,-3.70205,Fuencarral,5,Calle Fuencarral nº 108,1,0,27,7,18,0
7,40.4241480,-3.6984470,Colegio Arquitectos,6,Calle Hortaleza nº 63,1,0,24,8,15,0
8,40.4251906,-3.6977715,Hortaleza,7,Calle Hortaleza nº 75,1,0,21,3,15,0
9,40.4278682,-3.6954403,Alonso Martínez,8,Plaza de Alonso Martínez nº 5,1,0,24,7,14,0
10,40.4156057,-3.7095084,Plaza de San Miguel,9,Plaza de San Miguel nº 9,1,0,24,7,16,0
11,40.42533,-3.69214,Marqués de la Ensenada,10,Calle Marqués de la Ensenada nº 16,1,0,24,5,18,0
12,40.4269483,-3.7035918,San Andrés,11,Calle San Andrés nº 18,1,0,24,1,21,0
13,40.4284246,-3.7061931,San Hermenegildo,12,Calle San Bernardo nº 85,1,0,24,5,18,0
14,40.4273264,-3.7104417,Conde Duque,13,Calle Conde Duque nº 22,1,0,24,14,10,0
15,40.4260957,-3.7134790,Ventura Rodríguez,14,Calle Duque de Liria,1,0,24,6,16,0
16,40.4262383,-3.7074453,San Vicente Ferrer,15,Calle San Vicente Ferrer nº 64,1,1,21,0,0,0
17,40.4230721,-3.7075065,San Bernardo,16,Calle San Bernardo nº 22,1,0,21,5,15,0
18,40.4232649,-3.7038312,Carlos Cambronero,17,Plaza de Carlos Cambronero nº 2,1,0,24,5,15,0
19,40.4207773,-3.6996502,Plaza de Pedro Zerolo,18,Plaza de Pedro Zerolo nº 1,1,0,24,13,10,0
20,40.4218616,-3.6954983,Prim,19,Calle Prim nº 2,1,1,24,0,0,0
21,40.4192342,-3.6954615,Banco de España A,20a,Calle Alcalá nº 49,1,0,30,11,15,0
25,40.4200783,-3.7065376,Jacometrezo,22,Calle Jacometrezo nº 3,1,0,24,11,11,0
26,40.4202834,-3.7081246,Santo Domingo,23,Plaza de Santo Domingo nº 1,1,0,24,10,13,0
27,40.417908,-3.710692,Palacio de Oriente,24,Calle Carlos III nº 1,1,0,24,5,17,0
28,40.4173703,-3.7057791,Plaza de Celenque A,25a,Plaza de Celenque nº 1,1,1,24,0,0,0
29,40.4172781,-3.7063837,Plaza de Celenque B,25b,Plaza de Celenque nº 1,1,1,24,0,0,0
30,40.423855,-3.694475,Plaza de las Salesas,26,Plaza de las Salesas 7,1,0,24,9,13,0
31,40.4132798,-3.6956178,Huertas,27,Calle Jesús nº 1,1,0,24,3,21,0
32,40.4181518,-3.6984368,Sevilla,28,Calle Alcalá nº 27,1,0,24,6,16,0
33,40.4162619,-3.6957355,Marqués de Cubas,29,Calle del Marqués de Cubas nº 25,1,0,24,12,10,0
34,40.4192095,-3.7115040,San Quintín,30,Calle Pavía nº 6,1,0,27,8,18,0
35,40.4163638,-3.7068969,Calle Mayor,31,Calle Mayor nº 20,1,1,27,0,0,0
36,40.4150099,-3.7061032,Plaza de la Provincia,32,Plaza de la Provincia nº 1,1,0,18,12,6,0
37,40.4165039,-3.7030833,Carretas,33,Calle Carretas nº 8,1,1,21,0,0,0
38,40.4146755,-3.7036825,Jacinto Benavente,34,Plaza de Jacinto Benavente,1,1,24,0,0,0
39,40.4141931,-3.7103285,Plaza del Cordón,35,Plaza del Cordón,1,0,24,1,22,0
40,40.4168,-3.71183,Plaza Ramales,36,Plaza de Ramales,1,0,24,7,15,0
41,40.4108,-3.714113,Plaza de San Francisco,37,Plaza de San Francisco nº 5,1,0,24,5,17,0
42,40.4114041,-3.7114762,Plaza de los Carros,38,Carrera de San Francisco nº 1,1,0,24,1,21,0
43,40.4112744,-3.7088337,Plaza de la Cebada,39,Plaza de la Cebada nº 16 ,1,0,27,16,6,0
44,40.4138846,-3.7049407,Conde de Romanones,40,Plaza del Conde de Romanones nº 9,1,0,24,11,11,0
45,40.4122047,-3.6991147,Antón Martín,41,Calle Atocha nº 54,1,0,18,9,5,0
46,40.4107085,-3.6982318,Santa Isabel,42,Calle Atocha nº 95,1,0,24,8,14,0
47,40.4101564,-3.7025024,Jesús y María,43,Calle Lavapiés nº 34,1,0,24,9,12,0
48,40.4097617,-3.7040666,Plaza de Nelson Mandela,44,Calle Mesón de Paredes nº 35,1,0,21,11,10,0
49,40.4070358,-3.7110513,Puerta de Toledo,45,Glorieta de la Puerta de Toledo nº 1,1,0,21,8,10,1
50,40.4053153,-3.7071259,Ribera de Curtidores,46,Calle Ribera de Curtidores nº 28,1,0,24,7,15,0
51,40.4047851,-3.7028265,Embajadores 1,47,Glorieta de Embajadores nº 6,1,0,24,9,12,0
52,40.4056107,-3.7022591,Embajadores 2,48,Glorieta de Embajadores nº 2,1,0,24,6,17,0
53,40.4060941,-3.6992759,Casa Encendida,49,Ronda de Atocha nº 34,1,0,24,13,9,0
54,40.4083684,-3.6933463,Museo Reina Sofía,50,Calle Santa Isabel nº 57,1,0,24,9,12,0
55,40.4075606,-3.6935205,Ronda de Atocha,51,Ronda de Atocha nº 2,1,0,27,13,11,2
56,40.4144226,-3.7007164,Plaza de Santa Ana,52,Plaza de Santa Ana nº 10,1,0,24,22,1,0
57,40.4083061,-3.7007111,Plaza de Lavapiés,53,Calle Valencia nº 1,1,0,24,12,12,0
58,40.4266828,-3.7004230,Barceló,54,Calle Barceló nº 7,1,0,21,7,12,0
59,40.4239757,-3.7020842,Plaza de San Ildefonso,55,Plaza de San Ildefonso,1,0,24,13,10,0
60,40.4184192,-3.7032414,Plaza del Carmen ,56,Plaza del Carmen nº 1,1,0,24,16,8,0
61,40.4295658,-3.7126299,Santa Cruz del Marcenado,57,Calle Santa Cruz del Marcenado nº 24,1,0,24,4,18,0
62,40.4222862,-3.6978950,Augusto Figueroa,58,Calle Augusto Figueroa nº 33,1,0,24,8,14,0
63,40.4255495,-3.7043418,Plaza de Juan Pujol,59,Calle Espíritu Santo nº 30,1,0,21,5,15,0
64,40.4197520,-3.6883980,Plaza de la Independencia,60,Plaza de la Independencia nº 6,1,0,24,4,20,0
65,40.4213983,-3.6752045,Narváez,61,Calle O'Donnell nº 28,1,0,24,3,20,0
66,40.4213148,-3.6724968,O'Donnell,62,Calle O'Donnell nº 50,1,0,24,5,17,0
67,40.4179237,-3.6708959,Ibiza,63,Calle Ibiza nº 62,1,0,24,9,15,0
69,40.4166834,-3.6894193,Antonio Maura,65,Calle Antonio Maura nº 15,1,0,24,13,10,0
71,40.4108472,-3.6932250,Almadén,67,Calle Almadén nº 28,1,0,24,4,18,0
72,40.4128372,-3.6912023,Espalter,68,Calle Espalter nº 1,1,0,21,10,11,0
73,40.4098080,-3.6888220,Puerta del Ángel Caído,69,Avenida de Alfonso XII nº 54,1,0,27,13,13,0
74,40.4153053,-3.6779232,Puerta del Doce de Octubre,70,Avenida de Menéndez Pelayo nº 63,1,0,24,11,13,0
75,40.4159569,-3.6738865,Doce de Octubre,71,Calle Doce de Octubre nº 28,1,0,24,8,14,0
76,40.4157413,-3.6691838,Sainz de Baranda,72,Calle Doctor Esquerdo nº 99,1,0,24,11,13,0
77,40.4114475,-3.6689089,Plaza de los Astros,73,Avenida de Nazaret nº 7,1,0,24,8,16,0
78,40.4117627,-3.6766813,Puerta del Pacífico ,74,Avenida de Menéndez Pelayo nº 73,1,0,24,6,13,0
79,40.4082805,-3.6784838,Menéndez Pelayo,75,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,1,0,24,5,19,0
80,40.4071304,-3.6751352,Puerta de Mariano de Cavia,76,Avenida del Mediterráneo nº 19,1,0,24,11,10,0
81,40.4063500,-3.6704220,Conde de Casal,77,Plaza del Conde de Casal nº 8,1,0,22,15,3,0
82,40.400789,-3.674400,Pedro Bosch,78,Calle Cerro de la Plata nº 2,1,0,24,15,7,0
83,40.4051451,-3.6803874,Puerta de Granada,79,Avenida de Menéndez Pelayo nº 38,1,0,24,16,5,0
84,40.4075685,-3.6902255,Atocha A,80a,Paseo de la Infanta Isabel nº 3,1,0,24,9,13,0
85,40.4074902,-3.6901234,Atocha B,80b,Paseo de la Infanta Isabel nº 3,1,0,27,26,0,0
86,40.4092970,-3.6919870,Cuesta de Moyano,81,Cuesta de Claudio Moyano,1,0,24,5,18,0
87,40.4084556,-3.6697526,Niño Jesús,82,Calle Doctor Esquerdo nº 161,1,0,24,11,11,0
88,40.4132995,-3.6745323,Pío Baroja,83,Calle Pío Baroja nº 10,1,0,24,14,9,0
89,40.4032501,-3.6726019,Valderribas,84,Calle Doctor Esquerdo nº 191,1,1,24,0,0,0
90,40.4215010,-3.6800080,Puerta de Madrid,85,Avenida de Menéndez Pelayo esquina calle O'Donnell,1,0,27,7,19,0
91,40.4186516,-3.6933498,Cibeles,86,Plaza Cibeles,1,0,21,15,5,0
92,40.4277360,-3.6832566,Ayala,87,Calle Ayala nº 44,1,0,24,17,6,0
93,40.4313576,-3.6838303,Embajada de Italia,88,Calle Velázquez nº 75,1,0,24,8,16,0
94,40.4272582,-3.6752024,Conde Peñalver,89,Calle Ayala nº 102,1,0,24,7,17,0
95,40.4250361,-3.6837876,General Pardiñas,90,Calle Goya nº 18,1,0,30,12,16,0
96,40.4261340,-3.6787441,Príncipe de Vergara,91,Calle Hermosilla nº 70,1,0,24,9,15,0
